scenario,seed,comparator,full_valid,comparator_valid,angular_travel_rad_ratio_to_full,angular_travel_rad_difference_from_full,scan_angular_travel_rad_ratio_to_full,scan_angular_travel_rad_difference_from_full,measured_positive_travel_m_ratio_to_full,measured_positive_travel_m_difference_from_full,measured_forward_m_ratio_to_full,measured_forward_m_difference_from_full,elapsed_s_ratio_to_full,elapsed_s_difference_from_full
central_gap,6,matched_scan_speed,True,True,0.0,-0.00023489640459657134,0.0,-0.00023202037115898507,0.9999999999973347,-1.620370504440416e-13,1.0,0.0,1.0,0.0
central_gap,7,matched_scan_speed,True,True,0.0,-0.0001826380484711825,0.0,-0.00018238609636618832,0.9999999999991631,-5.090372567906343e-14,1.0,0.0,1.0,0.0
central_gap,8,matched_scan_speed,True,True,0.0,-0.0003914780385412496,0.0,-0.00039147803854122165,0.9999999999973348,-1.620509282318494e-13,1.0,0.0,1.0,0.0
central_gap,9,matched_scan_speed,True,True,0.0,-0.00040390806215028565,0.0,-0.00040390666221366036,0.9997607417338711,-1.4551876821811138e-05,1.0,0.0,1.0,0.0
central_gap,0,matched_rocking,True,True,0.0,-0.00017735518585196625,0.0,-0.00017735518565495723,0.9996351468905371,-2.218440110707265e-05,1.0,0.0,0.9954198473282444,-0.01499999999999968
central_gap,1,matched_rocking,True,True,0.0,-8.197396876777635e-05,0.0,-8.197396875643492e-05,1.0000057219450713,3.4778622279296734e-07,1.0,0.0,0.9893778452200305,-0.0349999999999997
central_gap,2,matched_rocking,True,True,0.0,-0.0003411455565026661,0.0,-0.0003411455561840693,1.0004063328891502,2.468747756578793e-05,1.0,0.0,0.9834087481146305,-0.054999999999999716
central_gap,3,matched_rocking,True,True,0.0,-0.0002663878361578426,0.0,-0.00026638783538056,1.0000887168043875,5.391859127568122e-06,1.0,0.0,0.9923896499238966,-0.02499999999999991
central_gap,4,matched_rocking,True,True,0.0,-3.860347225692256e-05,0.0,-3.860347225692255e-05,1.0001491617776626,9.064919456298892e-06,1.0,0.0,0.998468606431853,-0.004999999999999893
central_gap,5,matched_rocking,True,True,0.0,-1.338066293052003e-10,0.0,-1.3380662930520011e-10,1.0000379028728725,2.303704881662094e-06,1.0,0.0,0.9939024390243902,-0.020000000000000018
central_gap,6,matched_rocking,True,True,0.0,-0.00023489640459657134,0.0,-0.00023202037115898507,0.9997964135225276,-1.237680441543848e-05,1.0,0.0,0.9908814589665654,-0.029999999999999805
central_gap,7,matched_rocking,True,True,0.0,-0.0001826380484711825,0.0,-0.00018238609636618832,0.9992934844816244,-4.2973410711064086e-05,1.0,0.0,0.9939024390243902,-0.020000000000000018
central_gap,8,matched_rocking,True,True,0.0,-0.0003914780385412496,0.0,-0.00039147803854122165,0.9996406655582232,-2.184872534365112e-05,1.0,0.0,0.9908814589665654,-0.029999999999999805
central_gap,9,matched_rocking,True,True,0.0,-0.00040390806215028565,0.0,-0.00040390666221366036,0.9993534491534927,-3.932373342681317e-05,1.0,0.0,0.9834087481146305,-0.054999999999999716
shadow,0,matched_scan_speed,True,True,0.0,-0.026271000590261877,0.0,-0.026257370397581723,1.000000026366391,1.5891362808995169e-09,1.0,0.0,1.0,0.0
shadow,1,matched_scan_speed,True,True,0.0,-0.027743357119482687,0.0,-0.027743340015354133,1.000000058153903,3.505309091600406e-09,1.0,0.0,1.0,0.0
shadow,2,matched_scan_speed,True,True,0.0,-0.02531403685368781,0.0,-0.024894481700542204,1.0000000083822738,5.052197410426729e-10,1.0,0.0,1.0,0.0
shadow,3,matched_scan_speed,True,True,0.0,-0.025756179716291735,0.0,-0.02575617778685881,1.0000000872821702,5.261001183309855e-09,1.0,0.0,1.0,0.0
shadow,4,matched_scan_speed,True,True,0.0,-0.027028440017158126,0.0,-0.027028428485174217,1.0000000783570298,4.723018795504963e-09,1.0,0.0,1.0,0.0
shadow,5,matched_scan_speed,True,True,0.0,-0.025423450973501308,0.0,-0.025318339955064086,1.0000000651190386,3.925050465203306e-09,1.0,0.0,1.0,0.0
shadow,6,matched_scan_speed,True,True,0.0,-0.026152171043460497,0.0,-0.02613334903308194,1.000000017892112,1.0785405624158528e-09,1.0,0.0,1.0,0.0
shadow,7,matched_scan_speed,True,True,0.0,-0.02671735377912307,0.0,-0.026713542541511162,1.0000000536698024,3.234905614213357e-09,1.0,0.0,1.0,0.0
shadow,8,matched_scan_speed,True,True,0.0,-0.02616720159985697,0.0,-0.02616719945413686,1.0000000395601283,2.3843936686196443e-09,1.0,0.0,1.0,0.0
shadow,9,matched_scan_speed,True,True,0.0,-0.024792059542174307,0.0,-0.02479205759462782,0.9999998357128724,-9.901963707314998e-09,1.0,0.0,1.0,0.0
shadow,0,matched_rocking,True,True,0.0,-0.026271000590261877,0.0,-0.026257370397581723,1.0084647455778193,0.0005101810967975823,1.0,0.0,0.4375838926174497,-4.1899999999999995
shadow,1,matched_rocking,True,True,0.0,-0.027743357119482687,0.0,-0.027743340015354133,1.0083788383091483,0.0005050463782635198,1.0,0.0,0.4375838926174497,-4.1899999999999995
shadow,2,matched_rocking,True,True,0.0,-0.02531403685368781,0.0,-0.024894481700542204,1.008446116852616,0.000509067723266643,1.0,0.0,0.4375838926174497,-4.1899999999999995
shadow,3,matched_rocking,True,True,0.0,-0.025756179716291735,0.0,-0.02575617778685881,1.00838949157467,0.0005056831765581152,1.0,0.0,0.4375838926174497,-4.1899999999999995
shadow,4,matched_rocking,True,True,0.0,-0.027028440017158126,0.0,-0.027028428485174217,1.0083921707182504,0.000505843320084319,1.0,0.0,0.4375838926174497,-4.1899999999999995
