t_s,x_tgt_m,x_meas_m,err_mm,v_ff_m_s,a_ff,v_cmd_m_s,a_cmd
2.6201,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.6401,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.6602,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.6801,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.7001,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.7201,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.7402,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.7602,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.7801,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.8026,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.8201,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.8401,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.8601,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.8801,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.9001,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.9201,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.9401,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.9601,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.9801,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.0001,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.0201,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.0401,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.0601,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.0801,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.1001,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.1201,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.1401,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.1601,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.1801,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.2001,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.2201,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.2401,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.2601,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.2801,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.3001,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.3201,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.3401,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.3601,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.3802,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.4001,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
3.4201,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
