t_s,x_tgt_m,x_meas_m,err_mm,v_ff_m_s,a_ff,v_cmd_m_s,a_cmd
4.4601,0.048476,0.048523,-0.047,-0.01838,-0.06070,-0.01997,-0.05477
4.4801,0.048096,0.048142,-0.046,-0.01955,-0.05559,-0.02107,-0.05525
4.5001,0.047695,0.047737,-0.042,-0.02058,-0.04767,-0.02197,-0.04499
4.5201,0.047274,0.047310,-0.036,-0.02143,-0.03689,-0.02257,-0.03001
4.5401,0.046839,0.046867,-0.028,-0.02204,-0.02331,-0.02290,-0.01635
4.5601,0.046394,0.046411,-0.016,-0.02235,-0.00709,-0.02278,0.00612
4.5802,0.045946,0.045955,-0.009,-0.02231,0.01159,-0.02253,0.01227
4.6001,0.045505,0.045498,0.007,-0.02188,0.03215,-0.02146,0.05368
4.6201,0.045075,0.045054,0.021,-0.02101,0.05437,-0.02013,0.06672
4.6401,0.044668,0.044625,0.043,-0.01969,0.07762,-0.01800,0.10653
4.6601,0.044291,0.044228,0.062,-0.01790,0.10135,-0.01557,0.12128
4.6801,0.043954,0.043880,0.075,-0.01564,0.12489,-0.01297,0.13007
4.7001,0.043668,0.043580,0.088,-0.01291,0.14748,-0.00978,0.15952
4.7201,0.043441,0.043332,0.109,-0.00975,0.16846,-0.00582,0.19800
4.7401,0.043281,0.043152,0.128,-0.00619,0.18707,-0.00161,0.21042
4.7601,0.043195,0.043048,0.147,-0.00229,0.20264,0.00290,0.22569
4.7801,0.043191,0.043024,0.167,0.00189,0.21449,0.00777,0.24329
4.8001,0.043272,0.043071,0.201,0.00626,0.22206,0.01348,0.28553
4.8201,0.043442,0.043232,0.211,0.01074,0.22484,0.01800,0.22618
4.8401,0.043702,0.043511,0.191,0.01522,0.22243,0.02150,0.17465
4.8601,0.044051,0.043881,0.169,0.01960,0.21456,0.02512,0.18121
4.8801,0.044485,0.044323,0.162,0.02377,0.20108,0.02921,0.20466
4.9001,0.045000,0.044836,0.163,0.02761,0.18204,0.03317,0.19798
4.9201,0.045587,0.045433,0.154,0.03102,0.15757,0.03613,0.14780
4.9401,0.046236,0.046109,0.127,0.03388,0.12803,0.03789,0.08809
4.9601,0.046937,0.046842,0.094,0.03610,0.09384,0.03896,0.05329
4.9801,0.047675,0.047606,0.069,0.03761,0.05561,0.03967,0.03549
5.0001,0.048435,0.048393,0.042,0.03831,0.01412,0.03943,-0.01194
5.0201,0.049201,0.049186,0.015,0.03815,-0.02980,0.03835,-0.05381
5.0401,0.049955,0.049975,-0.020,0.03711,-0.07521,0.03605,-0.11495
5.0601,0.050679,0.050733,-0.054,0.03514,-0.12106,0.03292,-0.15659
5.0801,0.051355,0.051446,-0.091,0.03227,-0.16626,0.02876,-0.20831
5.1001,0.051965,0.052093,-0.128,0.02850,-0.20974,0.02374,-0.25089
5.1201,0.052490,0.052654,-0.164,0.02389,-0.25033,0.01792,-0.29080
5.1401,0.052915,0.053109,-0.193,0.01851,-0.28702,0.01161,-0.31567
5.1601,0.053226,0.053455,-0.230,0.01244,-0.31880,0.00424,-0.36864
5.1801,0.053409,0.053669,-0.260,0.00580,-0.34478,-0.00335,-0.37954
5.2001,0.053455,0.053735,-0.281,-0.00130,-0.36418,-0.01108,-0.38641
5.2201,0.053355,0.053675,-0.320,-0.00872,-0.37637,-0.02002,-0.44697
5.2401,0.053105,0.053451,-0.346,-0.01630,-0.38090,-0.02835,-0.41615
5.2601,0.052703,0.053047,-0.345,-0.02390,-0.37747,-0.03561,-0.36305
5.2801,0.052150,0.052463,-0.314,-0.03135,-0.36599,-0.04167,-0.30305
5.3001,0.051451,0.051736,-0.285,-0.03849,-0.34656,-0.04785,-0.30918
5.3201,0.050614,0.050885,-0.272,-0.04516,-0.31949,-0.05425,-0.31976
5.3401,0.049649,0.049910,-0.262,-0.05122,-0.28528,-0.06000,-0.28761
5.3601,0.048570,0.048808,-0.238,-0.05653,-0.24462,-0.06437,-0.21869
5.3801,0.047391,0.047590,-0.199,-0.06097,-0.19827,-0.06730,-0.14622
5.4001,0.046136,0.046285,-0.150,-0.06443,-0.14744,-0.06899,-0.08445
5.4201,0.044824,0.044927,-0.103,-0.06684,-0.09326,-0.06983,-0.04237
5.4401,0.043472,0.043540,-0.068,-0.06814,-0.03673,-0.07006,-0.01124
5.4601,0.042105,0.042137,-0.033,-0.06831,0.02073,-0.06904,0.05093
5.4801,0.040746,0.040738,0.008,-0.06732,0.07778,-0.06658,0.12271
5.5001,0.039419,0.039363,0.056,-0.06521,0.13302,-0.06277,0.19085
5.5201,0.038146,0.038039,0.106,-0.06202,0.18525,-0.05785,0.24604
5.5401,0.036945,0.036795,0.150,-0.05783,0.23323,-0.05224,0.28047
5.5601,0.035839,0.035653,0.186,-0.05273,0.27581,-0.04603,0.31062
5.5801,0.034841,0.034628,0.214,-0.04683,0.31206,-0.03925,0.33884
5.6001,0.033969,0.033725,0.244,-0.04029,0.34109,-0.03166,0.37963
5.6201,0.033234,0.032961,0.273,-0.03325,0.36226,-0.02366,0.39960
5.6401,0.032642,0.032345,0.297,-0.02586,0.37518,-0.01550,0.40802
5.6601,0.032200,0.031892,0.308,-0.01829,0.37959,-0.00770,0.39040
5.6801,0.031910,0.031602,0.308,-0.01073,0.37549,-0.00025,0.37217
5.7001,0.031770,0.031467,0.303,-0.00334,0.36310,0.00690,0.35775
5.7201,0.031775,0.031476,0.299,0.00373,0.34283,0.01387,0.34817
5.7401,0.031917,0.031606,0.310,0.01033,0.31529,0.02101,0.35725
5.7601,0.032184,0.031892,0.291,0.01630,0.28136,0.02600,0.24961
5.7801,0.032564,0.032325,0.238,0.02154,0.24195,0.02907,0.15318
5.8001,0.033041,0.032856,0.186,0.02596,0.19809,0.03169,0.13138
5.8201,0.033596,0.033447,0.149,0.02945,0.15128,0.03411,0.12054
5.8401,0.034212,0.034090,0.122,0.03199,0.10251,0.03586,0.08770
5.8601,0.034869,0.034781,0.088,0.03355,0.05325,0.03616,0.01522
5.8801,0.035549,0.035504,0.046,0.03413,0.00470,0.03521,-0.04751
5.9001,0.036230,0.036225,0.005,0.03376,-0.04171,0.03347,-0.08696
5.9201,0.036893,0.036921,-0.028,0.03248,-0.08482,0.03117,-0.11513
5.9401,0.037523,0.037586,-0.063,0.03039,-0.12356,0.02786,-0.16552
5.9601,0.038104,0.038200,-0.096,0.02758,-0.15697,0.02396,-0.19513
5.9801,0.038622,0.038742,-0.121,0.02416,-0.18426,0.01979,-0.20850
6.0001,0.039066,0.039207,-0.141,0.02026,-0.22016,0.01524,-0.22765
6.0201,0.039427,0.039589,-0.162,0.01570,-0.23301,0.00996,-0.26367
6.0401,0.039694,0.039878,-0.185,0.01098,-0.23904,0.00445,-0.27558
6.0601,0.039865,0.040060,-0.194,0.00619,-0.23837,-0.00050,-0.24778
6.0801,0.039942,0.040134,-0.192,0.00149,-0.23121,-0.00502,-0.22580
6.1001,0.039926,0.040122,-0.195,-0.00301,-0.21793,-0.00968,-0.23272
6.1201,0.039824,0.040026,-0.202,-0.00719,-0.19907,-0.01414,-0.22319
6.1401,0.039641,0.039828,-0.187,-0.01095,-0.17529,-0.01713,-0.14942
6.1601,0.039390,0.039538,-0.148,-0.01417,-0.14751,-0.01877,-0.08235
6.1801,0.039079,0.039190,-0.111,-0.01682,-0.11649,-0.02019,-0.07096
6.2001,0.038721,0.038805,-0.084,-0.01882,-0.08328,-0.02138,-0.05908
6.2201,0.038331,0.038394,-0.063,-0.02014,-0.04888,-0.02207,-0.03459
6.2401,0.037920,0.037967,-0.047,-0.02077,-0.01430,-0.02220,-0.00672
6.2601,0.037504,0.037526,-0.022,-0.02072,0.01932,-0.02117,0.05146
6.2801,0.037096,0.037088,0.008,-0.02001,0.05106,-0.01942,0.08749
6.3001,0.036708,0.036666,0.041,-0.01870,0.07997,-0.01692,0.12516
6.3201,0.036351,0.036283,0.068,-0.01684,0.10519,-0.01423,0.13460
6.3401,0.036037,0.035955,0.082,-0.01452,0.12595,-0.01159,0.13190
6.3601,0.035773,0.035687,0.087,-0.01183,0.14165,-0.00884,0.13749
6.3801,0.035565,0.035461,0.104,-0.00889,0.15182,-0.00516,0.18409
6.4001,0.035418,0.035301,0.117,-0.00580,0.15612,-0.00166,0.17467
6.4201,0.035334,0.035214,0.119,-0.00269,0.15443,0.00139,0.15266
6.4401,0.035310,0.035190,0.121,0.00033,0.14676,0.00447,0.15381
6.4601,0.035346,0.035208,0.138,0.00315,0.13328,0.00803,0.17810
6.4801,0.035434,0.035299,0.135,0.00563,0.11440,0.01021,0.10903
6.5001,0.035568,0.035458,0.110,0.00769,0.09056,0.01115,0.04697
6.5201,0.035738,0.035661,0.077,0.00923,0.06251,0.01150,0.01778
6.5401,0.035933,0.035884,0.049,0.01016,0.03096,0.01152,0.00085
6.5601,0.036140,0.036108,0.033,0.01045,-0.00320,0.01138,-0.00714
6.5801,0.036346,0.036341,0.005,0.01003,-0.03894,0.00991,-0.07325
6.6001,0.036537,0.036556,-0.019,0.00888,-0.07526,0.00795,-0.09825
6.6201,0.036697,0.036743,-0.046,0.00702,-0.11104,0.00515,-0.14005
6.6401,0.036813,0.036889,-0.076,0.00445,-0.14529,0.00154,-0.18008
6.6601,0.036871,0.036979,-0.108,0.00122,-0.17689,-0.00282,-0.21824
