scan,mode,moving_samples,acceptance_mask_differences,deferral_count_before,deferral_count_after,max_component_abs_difference,max_z_abs_difference_m_s,max_omega_abs_difference_rad_s,max_reconstructed_alpha_abs_difference,max_tank_trace_abs_difference_j,tank_end_abs_difference_j,omega_error_max_before,omega_error_max_after,pairing_error_max_before,pairing_error_max_after,energy_margin_min_before,energy_margin_min_after,mean_cost_before_s,mean_cost_after_s,p95_cost_before_s,p95_cost_after_s,max_cost_before_s,max_cost_after_s,before_velocity_violation,before_angle_violation_rad,before_consecutive_moving_slew_violation,before_aperture_violation_m_s,after_velocity_violation,after_angle_violation_rad,after_consecutive_moving_slew_violation,after_aperture_violation_m_s
003/RH_Per_S_DtP,confidence_cop_v1,4202,0,0,0,1.3544935220049004e-09,1.3086971718985485e-11,1.3544935220049004e-09,4.38922587164825e-09,6.649403250236219e-12,6.6381344865362735e-12,1.311517877806978e-10,4.336808689942018e-19,1.8699980043445864e-12,6.243029867958219e-19,1.0871796518689631,1.0871796518820214,0.002359242356937278,0.0017956398817091266,0.002449523249742924,0.0018398076001176376,0.003514933996484615,0.0026355199952377006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/RH_Per_S_PtD,confidence_angular_v1,3920,0,0,0,1.2175460964956863e-09,2.2501712949526964e-12,1.2175460964956863e-09,8.186271882593132e-09,7.171818694473586e-12,2.7110674816199776e-12,1.3242615470485127e-10,4.336808689942018e-19,2.2501712949526964e-12,8.673617379884035e-19,1.1106361521942332,1.110636152163425,0.0023424794257579733,0.0017815071417020107,0.0024578980002843307,0.0018210674043075414,0.0029776060036965646,0.0021756170026492327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/RH_Per_S_PtD,confidence_cop_v1,3920,0,0,0,1.2175460964956863e-09,2.2602622898326707e-11,1.2175460964956863e-09,8.186271882593132e-09,5.1062487571584825e-12,5.1062487571584825e-12,1.3242615470485127e-10,4.336808689942018e-19,2.2399287246253068e-12,6.301925127571995e-19,1.1106361479096576,1.1106361478773616,0.002341599425293754,0.0017828743198522864,0.0024625070032925577,0.001822207244549645,0.0029613419974339195,0.0025716439995449036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007/LH_Per_C_DtP,confidence_angular_v1,3827,0,0,0,1.2603249984963713e-09,1.6503058962906258e-12,1.2603249984963713e-09,2.8395349183085727e-08,1.3189033198912625e-11,4.996003610813204e-16,1.1233793214236731e-10,1.0842021724855044e-19,1.6503058962906258e-12,8.673617379884035e-19,1.1421560892824674,1.1421560894778582,0.00243402046747506,0.0018490467405822219,0.002550727802736219,0.001871972198568983,0.003021205004188232,0.002483118005329743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007/LH_Per_C_DtP,confidence_cop_v1,3827,0,0,0,1.2603249984963713e-09,1.2450841695003413e-11,1.2603249984963713e-09,2.8395344964238234e-08,1.0904166458658437e-11,6.938893903907228e-16,1.1233793214236731e-10,1.0842021724855044e-19,1.3869400145647367e-12,8.610726837911629e-19,1.1421560890658207,1.142156089261058,0.002434086253162753,0.0018494654321960745,0.00254480280491407,0.0018711215991061181,0.0029660590007551946,0.0024728610005695373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007/LH_Per_C_PtD,confidence_angular_v1,3308,0,0,0,8.415773352721603e-10,1.9984175645004685e-12,8.415773352721603e-10,8.694688968802211e-09,4.290290345210224e-12,4.2002512579131235e-13,1.2344433136281252e-10,4.336808689942018e-19,1.9984175645004685e-12,4.336808689942018e-19,1.142295984652982,1.142295984630362,0.0024572447647894942,0.001838590932010598,0.0026669572482205693,0.001861453249512124,0.003275852999649942,0.001993089994357433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007/LH_Per_C_PtD,confidence_cop_v1,3308,0,0,0,8.415773352721603e-10,6.353502468060823e-12,8.415773352721603e-10,8.694688968802211e-09,1.101006785741987e-11,9.3093310837844e-12,1.2344433136281252e-10,4.336808689942018e-19,1.9924830243263766e-12,5.769353161985853e-19,1.1422962510120083,1.1422962509359593,0.0024580026548230533,0.0018406410053264837,0.0026674141983676234,0.0018625754506501834,0.0032092559995362535,0.002284886999404989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007/LH_Per_L_DtP,confidence_angular_v1,3325,0,0,0,8.919549256364376e-10,9.774807916210215e-13,8.919549256364376e-10,3.3576346147867753e-09,2.290917455738395e-11,8.705952625476243e-12,1.2055232940372251e-10,5.421010862427522e-20,9.774807916210215e-13,4.336808689942018e-19,1.224353543530123,1.2243535438598645,0.0024132125392705866,0.0018348025416612232,0.0025074220015085303,0.001857003195618745,0.003058600996155292,0.002368705994740594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007/LH_Per_L_DtP,confidence_cop_v1,3325,0,0,0,8.919549256364376e-10,7.319208498828e-12,8.919549256364376e-10,3.3576346147867753e-09,1.7149476283506715e-11,9.172135273516346e-12,1.2055232940372251e-10,5.421010862427522e-20,9.77465686907282e-13,6.121477744895083e-19,1.2243535433114578,1.2243535436411768,0.0024152425566317925,0.0018368228376296847,0.0025075394005398266,0.0018590506006148644,0.0030593219998991117,0.0025455720024183393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007/LH_Per_L_PtD,confidence_angular_v1,3327,0,0,0,3.3320950345234683e-10,1.5179664461141048e-12,3.3320950345234683e-10,9.999221450840423e-10,2.0333790207160973e-11,2.0333790207160973e-11,9.875281215765617e-11,5.293955920339377e-23,1.5179664461141048e-12,4.336808689942018e-19,1.1113475119015508,1.1113475114944342,0.0024098604836521897,0.0018384908325554655,0.002512293600739213,0.0018633567000506447,0.0033087280025938526,0.002594883000710979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
