scan,mode,moving_controls,accepted_controls,strict_moving_coverage,counterfactual_segment_restarts,tank_min_j,tank_end_j,weak_side_mean_m_s,omega_error_p95_rad_s,pair_residual_p95_m_s,alpha_mean,cost_mean_s,cost_p95_s,deferrals,publication_rejections,old_candidate_final_omega_p95_rad_s
007/LH_Per_C_PtD,confidence_cop_v1,3308,3308,1.0,0,0.1,0.10744261771705596,0.0008870919662916811,4.1974939621108486e-11,2.1399310162704973e-13,0.9911777996495192,0.0024580026548230533,0.0026674141983676234,0,,
007/LH_Per_L_DtP,recorded_old,3325,3316,,0,0.1,0.1451395806599736,-0.00011552510936441469,,,0.9720475798438775,0.0027939499789565326,0.003848750999895855,0,8,0.005136698969963829
007/LH_Per_L_DtP,confidence_angular_v1,3325,3325,1.0,0,0.1,0.14902761202758893,-0.0003366770943605878,4.036659554388547e-11,2.3531484920347147e-13,0.9987499420376423,0.0024132125392705866,0.0025074220015085303,0,,
007/LH_Per_L_DtP,confidence_cop_v1,3325,3325,1.0,0,0.1,0.14903426709811415,-0.0003378866677898388,4.036659554388547e-11,2.3559413152972136e-13,0.9987499420376423,0.0024152425566317925,0.0025075394005398266,0,,
007/LH_Per_L_PtD,recorded_old,3327,3317,,0,0.09995547267065666,0.09996604951251428,,,,0.9706397687522497,0.0027796756925842978,0.0038251534002483817,0,10,7.711868207710552e-08
007/LH_Per_L_PtD,confidence_angular_v1,3327,3327,1.0,0,0.1,0.10556737562538158,,1.779683232112354e-11,7.428186754934728e-14,0.9999913055848862,0.0024098604836521897,0.002512293600739213,0,,
007/LH_Per_L_PtD,confidence_cop_v1,3327,3327,1.0,0,0.1,0.10556737862526776,,1.779683232112354e-11,7.428182368460822e-14,0.9999913055848862,0.002407990159583698,0.002507598701777169,0,,
007/LH_Per_S_DtP,recorded_old,3418,3417,,0,0.09949669080043048,0.15,-0.0002539274654937164,,,0.9816786025989198,0.002874281665306534,0.003947000198604655,0,0,0.010941681476505177
007/LH_Per_S_DtP,confidence_angular_v1,3418,3418,1.0,0,0.1,0.1499999999411784,-0.0007853179282185462,3.4052607096916184e-11,2.3950846731249346e-13,0.9997648482284273,0.0024000707899831213,0.0024838235549395904,0,,
007/LH_Per_S_DtP,confidence_cop_v1,3418,3418,1.0,0,0.1,0.1499999999643512,-0.0007852690495187308,3.4052607096916184e-11,2.3951132908582624e-13,0.9997648482284273,0.00240062239705306,0.00248414659545233,0,,
007/LH_Per_S_PtD,recorded_old,3460,3458,,0,0.09999726632201093,0.1006780031788725,,,,0.9664097095248051,0.0028679021841631408,0.003935159899629071,0,2,0.005265675468693296
