scan,mode,moving_samples,source_age_at_proposal_p95_s,source_age_at_proposal_max_s,deadline_15ms_count_lower,deadline_15ms_count_upper,deadline_15ms_fraction_lower,deadline_15ms_fraction_upper,cost_p95_deadline_scenario_count,compute_over_5ms_count_lower,compute_over_5ms_count_upper,compute_over_5ms_fraction_lower,compute_over_5ms_fraction_upper,cost_mean_s,cost_p95_s,cost_max_s
jiaqi/RH_Per_S_DtP,confidence_angular_v1,4335,0.005025641304382589,0.007962485004100017,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023893747101867524,0.0024762406028457917,0.0034104310034308583
jiaqi/RH_Per_S_DtP,confidence_cop_v1,4335,0.005025641304382589,0.007962485004100017,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002387486593309718,0.0024746596012846568,0.0030680090058012865
jiaqi/RH_Per_S_PtD,confidence_angular_v1,4317,0.0050206847969093355,0.010234899003989995,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002369448317333487,0.0024510264047421515,0.002686466003069654
jiaqi/RH_Per_S_PtD,confidence_cop_v1,4317,0.0050206847969093355,0.010234899003989995,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023641961378955156,0.002444821604876779,0.003063504002057016
pei/LH_Per_C_DtP,confidence_angular_v1,3080,0.005243648847317672,0.010650693002389744,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024319486893439823,0.0025428332504816354,0.002895306999562308
pei/LH_Per_C_DtP,confidence_cop_v1,3080,0.005243648847317672,0.010650693002389744,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024304630928604814,0.002542643453853088,0.0030224599977373146
pei/LH_Per_L_DtP,confidence_angular_v1,3012,0.005333644052370798,0.008091258998319972,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002433323145403214,0.0026174958988121944,0.003264361002948135
pei/LH_Per_L_DtP,confidence_cop_v1,3012,0.005333644052370798,0.008091258998319972,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024325917968081806,0.00261230005089601,0.003508820002025459
pei/RH_Per_C_DtP,confidence_angular_v1,4063,0.005254778695234563,0.008864278999681119,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024129578168959514,0.0025146377003693486,0.003619625000283122
pei/RH_Per_C_DtP,confidence_cop_v1,4063,0.005254778695234563,0.008864278999681119,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024122792770554877,0.0025144696970528456,0.002949066001747269
pei/RH_Per_C_PtD,confidence_angular_v1,3910,0.005285578999246354,0.007926464000775013,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024410154595391263,0.0025435125000512924,0.0033938710039365105
pei/RH_Per_C_PtD,confidence_cop_v1,3910,0.005285578999246354,0.007926464000775013,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024393944319861176,0.002536652299386333,0.0030485730021609925
pei/RH_Per_L_DtP,confidence_angular_v1,3893,0.005269032600335776,0.010536017995036673,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002397141169426723,0.0024872776004485784,0.0035527279978850856
pei/RH_Per_L_DtP,confidence_cop_v1,3893,0.005269032600335776,0.010536017995036673,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002393410721502254,0.002484686201205477,0.0031533860019408166
pei/RH_Per_L_PtD,confidence_angular_v1,3692,0.005233789201884064,0.009431054997548927,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024230311368305143,0.002505905699217692,0.0034413679968565702
pei/RH_Per_L_PtD,confidence_cop_v1,3692,0.005233789201884064,0.009431054997548927,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024191440286868483,0.0025018087515491063,0.002925816996139474
pei/RH_Per_S_DtP,confidence_angular_v1,4222,0.005349811346968636,0.010948665003525093,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002408725571076192,0.0024966198478068692,0.0030490129938698374
pei/RH_Per_S_DtP,confidence_cop_v1,4222,0.005349811346968636,0.010948665003525093,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002406735449858776,0.0024936165511462603,0.0026867530032177456
pei/RH_Per_S_PtD,confidence_angular_v1,3976,0.005237908502749633,0.007606561994180083,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002418765300991991,0.002503478004655335,0.003350500999658834
pei/RH_Per_S_PtD,confidence_cop_v1,3976,0.005237908502749633,0.007606561994180083,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002415848235116497,0.0025010092522279592,0.0027096010016975924
