scan,mode,moving_controls,accepted_controls,strict_moving_coverage,counterfactual_segment_restarts,tank_min_j,tank_end_j,weak_side_mean_m_s,omega_error_p95_rad_s,pair_residual_p95_m_s,alpha_mean,cost_mean_s,cost_p95_s,deferrals,publication_rejections,old_candidate_final_omega_p95_rad_s
007/LH_Per_L_PtD,recorded_old,3327,3317,,0,0.09995547267065666,0.09996604951251428,,,,0.9706397687522497,0.0027796756925842978,0.0038251534002483817,0,10,7.711868207710552e-08
007/LH_Per_L_PtD,confidence_angular_v1,3327,3327,1.0,0,0.1,0.1055673756050478,,1.3234889800848443e-23,0.0,0.9999913057895639,0.0018384908325554655,0.0018633567000506447,0,,
007/LH_Per_L_PtD,confidence_cop_v1,3327,3327,1.0,0,0.1,0.10556737860329302,,1.3234889800848443e-23,8.747983049527569e-20,0.9999913057895639,0.0018408934602134675,0.0018647311975655612,0,,
007/LH_Per_S_DtP,recorded_old,3418,3417,,0,0.09949669080043048,0.15,-0.0002539274654937164,,,0.9816786025989198,0.002874281665306534,0.003947000198604655,0,0,0.010941681476505177
007/LH_Per_S_DtP,confidence_angular_v1,3418,3418,1.0,0,0.1,0.14999999994117136,-0.0007853179301682929,1.3234889800848443e-23,0.0,0.9997648484319905,0.001847421842314527,0.0018686261544644367,0,,
007/LH_Per_S_DtP,confidence_cop_v1,3418,3418,1.0,0,0.1,0.1499999999643469,-0.0007852690516288818,1.3234889800848443e-23,1.0311053455681489e-19,0.9997648484319905,0.001849932892922259,0.0018719711519224803,0,,
007/LH_Per_S_PtD,recorded_old,3460,3458,,0,0.09999726632201093,0.1006780031788725,,,,0.9664097095248051,0.0028679021841631408,0.003935159899629071,0,2,0.005265675468693296
007/LH_Per_S_PtD,confidence_angular_v1,3460,3460,1.0,0,0.1,0.10762999584111459,,1.3234889800848443e-23,0.0,1.0,0.0018390187953901274,0.0018610337996506133,0,,
007/LH_Per_S_PtD,confidence_cop_v1,3460,3460,1.0,0,0.1,0.10763001370431889,,1.3234889800848443e-23,9.371959442153091e-20,1.0,0.001842162339174511,0.0018631060935149434,0,,
007/RH_Per_C_DtP,recorded_old,3595,3587,,0,0.1,0.1082665713928675,-5.809707966036536e-05,,,0.9456269629946867,0.002904735243670715,0.003969299002346815,0,8,0.03770696474617912
007/RH_Per_C_DtP,confidence_angular_v1,3595,3595,1.0,0,0.1,0.1150381777121376,-0.0008019830146199255,2.6469779601696886e-23,0.0,0.9975694431427137,0.0018387711964241134,0.0018629596968821715,0,,
