sample_t_mono_s,status_t_mono_s,force_seq,force_t_s,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,desired_fz_n,stage,contact,vz_cmd_mm_s,valid,stale,wrench_complete,force_source,mode,status_msg
916253.949275691,916253.946324745,6161,1788821919.9078803,-0.0300779116060131,0.16928546506400188,-0.27081920988683356,0.052862380220194655,-0.00033543916107365223,0.004120887420614689,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.959292189,916253.956452555,6163,1788821919.9180093,0.10545874785966208,0.16678760411735796,-0.18522344832520624,0.04821616157618114,-0.014024645869162623,-0.002248255441585585,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.969252926,916253.966259548,6165,1788821919.9278152,0.1240052339958626,0.17354350309162958,-0.15430799759738936,0.058944662170061626,-0.016408514563885555,0.006981314847135125,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.979361751,916253.976465908,6167,1788821919.9380143,0.1383264182359718,0.17775705351815027,-0.24135923164939896,0.05412476980476617,-0.013764776725710956,0.004814966282483672,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.989358944,916253.98655273,6169,1788821919.9481106,0.15802450905766094,0.20853663683055448,-0.26382295875812767,0.05555203368988408,-0.01491181351540984,0.006659459715001752,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.999232181,916253.996296453,6171,1788821919.957854,0.1227718268694898,0.1395886722394389,-0.14117997825362655,0.0519086607582553,-0.014869426215984721,-0.001622200331720905,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.009348359,916254.006593359,6173,1788821919.9681494,0.16862619511945237,0.26073687707807536,-0.2739918566649799,0.06273296095843478,-0.016268073472074828,0.006691075100190763,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.019240376,916254.016478088,6175,1788821919.9780273,0.13798838102817151,0.19360056918930393,-0.09762032760761297,0.05697929915934476,-0.014134783603291056,-0.001605266547448747,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.029234269,916254.026760944,6177,1788821919.988317,0.15654609568930167,0.37376694326241683,-0.15948164817643992,0.06891014894159075,-0.017737575968453934,0.011328802893984483,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.03922124,916254.036452856,6179,1788821919.9980097,0.04068620919848937,0.36773871017498855,-0.1284906724458323,0.07000315076860465,-0.010042545675898157,0.0030113314853304,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.049275497,916254.04642563,6181,1788821920.0079818,0.060400093390887394,0.35938308201305114,-0.06496064526392817,0.07167397089614416,-0.013432727477860156,0.012840953944086391,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.059232232,916254.05723264,6183,1788821920.0187793,-0.005484926671596654,0.11345247724767071,-0.1562040528550508,0.04708585983928515,-0.004942232821147795,-0.0042255770661276185,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.069230022,916254.067449743,6185,1788821920.0289958,0.13489790774330435,0.2711071885575662,-0.17731722157966698,0.06354895232153443,-0.016171902923329443,0.011973025454805719,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.079222911,916254.077056546,6187,1788821920.038611,0.04570332831878019,0.20165453999268712,-0.1180563047521683,0.05636196024012004,-0.013158482494259867,-0.0008961834704884798,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.089223003,916254.086591701,6189,1788821920.0481424,0.08450430914883551,0.29449447649017735,-0.1975206970420404,0.06526508615434626,-0.011497366266664406,0.010317491482578618,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.099220512,916254.096393585,6191,1788821920.0579505,0.14948507545036102,0.19062356474944608,-0.19450503561103905,0.052990568833369535,-0.01310071476263846,0.0026030636982055724,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.109221768,916254.106626485,6193,1788821920.0681753,0.1725424364374435,0.21223648586103128,-0.2254246700117925,0.057060044327224974,-0.015115782408099306,0.005886953906596808,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.119223412,916254.116555186,6195,1788821920.0781102,0.12120376005249721,0.32558874702248697,-0.21774670064209767,0.061321064567302776,-0.016259692323630053,0.004985008099844753,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.129221817,916254.126496553,6197,1788821920.0880535,0.20302825018237786,0.28430611003749817,-0.1320963235136856,0.06349094290809093,-0.02135793758946462,0.0041006012202162885,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916254.139230753,916254.13672593,6199,1788821920.0982742,0.12066645578246998,0.24624299049405832,-0.19390500365705565,0.06315615715792808,-0.01489491853402623,0.0064049978522011525,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
